ай да NP-Nom,– Ай да герой! – крикнул директор в восторге.,I agree,Characteristics,Assessment,Positive,,Clause,Clause,,,,,,,,,,,,,,,Simple,
ах Pron-Nom NP-Nom!,Ах ты подлец!,I agree,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,Simple,
вот так NP-Nom!,вот так встреча!,Characteristics Assessment,,,,,Clause,Clause,,,,,,,,,,,,,,,,
вот это NP-Nom!,вот это подарок!,Characteristics Assessment,,,,,Clause,Clause,,,,,,,,,,,,,,,,
вот NP-Nom!,вот дурак!,Characteristics Assessment,,,,,Clause,Clause,,,,,,,,,,,,,,,,
вот Pron-Dat и NP-Nom!,вот тебе и встреча!,Characteristics Unexpected outcome,,,,,Clause,Clause,,,,,,,,,,,,,,,,
делать Pron-Dat нечего,Делать тебе нечего!,"Assessment Negative COMMENT: Discourse: Replika = No Конструкция используется для выражения неодобрения в отношении действий участника. [Участник]Participant занимается делом, приоритет которого гораздо ниже, чем у других занятий. По мнению говорящего, [участник]Participant должен прекратить и перейти к более полезному занятию.",,,,,Clause,Clause,,,,,,,,,,,,,,,,
довольно VP-inf!,довольно жаловаться,Activity Prohibition,,,,,Clause,Clause,,,,,,,,,,,,,,,,
долой NP-Acc!,долой демократию!,Activity Prohibition,,,,,Clause,Clause,,,,,,,,,,,,,,,,
ещё (и) Cl!,ещё и учительница называется,I agree,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
ещё бы Cl,Ещё бы ты был недоволен!,Dicourse Reaction on a previous discourse Реакция на дискурс и/или действие Optative Negative,,,,,Clause,Clause,,,,,,,,,,,,,,,,
ещё VP-Fut,ещё побьют!,Activity Apprehension (opasenie),,,,,Clause,Clause,,,,,,,,,,,,,,,,
как (NP-Dat) не Adv VP-Inf,как не стыдно ходить в грязной одежде!,"Characteristics Assessment Negative Конструкция с риторическим вопросом-восклицанием обозначает, что говорящий выражает негодование по поводу [действий]Action [какого-либо участника]Experiecner ситуации и, таким образом, пытается его пристыдить. [Наречие]Condition имеет ограничение на заполнение: стыдно, совестно",,,,,Clause,Clause,,,,,,,,,,,,,,,,
как бы не VP-Inf!,как бы не упасть!,I agree,Activity,Apprehension,,,Clause,Clause,,,,,,,,,,,,,,,,
как начать VP-Inf!,А он как начал кричать!,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
как не VP-Inf!,как не знать!,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
каков Noun-Nom!,каков подлец!,I agree,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
какой (там) XP!,какое веселье!,I agree,Characteristics,Assessment,,,Clause,Clause,,,,,,,,,,,,,,,,
какой там VP-Past!,Какой там поел!,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
какой VP-Inf.Imp!,какой спать!,,,,,,Clause,Clause,,,,,,,,,,,,,,,,
"какой, к чёрту, NP","Какой, к чёрту, сон! Мне нужно работать!",,,,,,Clause,Clause,,,,,,,,,,,,,,,,
